-7.464172 -5.306274 -4.653381 -8.35083 -6.301147
-8.181763 -7.330322 -6.600708 -6.835266 -7.661316
-7.638184 -7.215271 -5.509827 -8.139404 -7.139648
-7.193848 -7.433838 -4.880615 -8.016663 -7.069702
-3.314148 -4.210999 -2.042603 -3.901672 -2.089355
-5.761414 -6.735718 -5 -7.661682 -5.889526
-2.400208 -5.608887 -5.119934 2.97229 1.588074
-3.157227 -4.803284 -5.453064 3.570007 1.366089
-6.938049 -4.309204 -3.344727 -7.226746 -4.088684
-8.643921 -5.673279 -5.245178 -8.188599 -6.33728
-8.0802 -7.72644 -6.644897 -9.118347 -8.529419
-8.425903 -8.338501 -6.865784 -9.263733 -8.86377
-8.349609 -8.241943 -6.590515 -9.391907 -9.008728
-8.178406 -8.07019 -6.538086 -9.245361 -8.999939
-8.173828 -8.003235 -6.569458 -9.153748 -8.916809
-8.0495 -7.567383 -6.845825 -11.09601 -9.363831
-3.604919 -4.230225 -0.2770386 -2.199036 0.8327026
-7.856262 -7.346069 -6.582947 -9.98999 -8.608521
-8.174561 -8.156311 -7.286682 -10.401 -9.03241
-2.357727 -7.396545 -1.897583 3.241089 -4.139954
-8.299438 -8.097778 -6.538147 -9.194031 -8.768188
-8.361694 -8.169983 -6.436646 -9.455261 -8.963623
-8.306824 -8.144104 -6.521729 -9.429199 -9.09436
-6.657043 -6.503052 -4.849915 -7.68335 -7.177795
-5.450439 -4.78949 -3.585693 -6.42627 -3.661499
-1.841431 -5.978943 -2.479309 2.884521 -3.608948
-5.992737 -6.167175 -4.266785 -8.35791 -5.797668
-6.350159 -5.809631 -4.395142 -8.153076 -5.75061
-7.342529 -6.539368 -6.479919 -10.33423 -9.028198
-7.683105 -6.808838 -6.140625 -10.54675 -8.576416
-8.296204 -8.038696 -7.28595 -10.55475 -9.093323
-8.316223 -8.045349 -7.443176 -10.48987 -9.101257
-8.203857 -7.503784 -7.041504 -11.24573 -9.534607
-5.569275 2.039612 -2.81012 0.1759033 -1.534729
-8.23291 -8.081909 -7.286316 -10.34814 -9.011963
-8.224182 -8.083496 -7.375305 -10.48425 -9.114807
-7.750977 -6.961792 -6.258423 -11.22113 -7.613647
-4.560852 -3.765991 2.727783 -6.57312 -5.248901
-4.462036 -5.010559 -3.954285 -7.709351 -6.65918
-6.259399 -6.895203 -6.19751 -9.7229 -7.572571
-6.208252 -7.049133 -6.28479 -9.704102 -7.487061
-7.131958 -5.347351 -3.892456 -7.813843 -5.542419
-5.359009 -4.573181 0.3358154 -5.400574 -2.05542
-5.867065 -4.749512 -0.5669556 -6.152405 -1.858154
-6.257324 -6.696838 -3.808105 -6.833923 -6.188965
-7.381104 -7.322021 -5.078308 -8.27655 -7.335205
-7.713562 -6.723633 -6.347412 -10.85034 -9.116638
-6.50946 -4.052673 -2.085815 -5.068298 -2.943481
-2.372498 -1.757812 -5.856018 -3.571838 -4.467102
-9.506165 -6.933716 -6.329773 -8.80719 -6.933899
-9.555664 -7.175842 -6.503479 -8.857422 -7.147278
-8.033569 -7.586731 -6.842163 -11.07874 -9.328735
-8.453674 -8.115662 -7.460327 -10.69519 -9.277893
-8.352722 -7.977722 -7.451599 -10.51855 -9.085205
-8.171265 -8.12854 -7.281616 -10.37115 -8.9375
-7.890869 -7.224365 -6.687988 -11.19751 -9.486633
-8.179138 -8.007019 -7.080872 -10.93628 -9.297974
-8.434082 -8.036255 -7.516968 -10.50122 -9.126892
-8.408142 -8.049072 -7.552673 -10.44171 -9.162354
-7.789795 -7.028809 -6.367432 -11.30164 -7.709045
-4.381653 1.337036 -0.81604 -5.05481 -5.785156
-3.189514 2.332336 -1.024597 -1.825684 -6.08905
-7.873718 -7.620972 -6.735962 -10.28638 -8.789246
-8.323181 -8.223145 -7.434692 -10.57709 -9.147583
-7.131958 -5.347351 -3.892456 -7.813843 -5.542419
-5.660889 -6.314087 -3.921753 -7.70459 -6.274475
2.030701 -3.523315 -0.7761841 -4.863037 -3.615356
-5.793335 -6.117493 -4.207214 -7.229614 -6.116272
-7.902588 -7.202087 -6.762634 -11.35455 -9.700867
-8.108582 -7.730896 -7.061707 -10.96564 -9.349731
-4.340088 -5.445435 -3.183167 -3.296387 3.230713
-5.226929 -6.050598 -3.196777 -5.559753 3.830872
-8.095276 -7.785583 -6.859192 -10.48413 -8.924622
-8.181763 -7.330322 -6.600708 -6.835266 -7.661316
-5.031555 -4.843872 -2.490845 -1.907043 0.8969116
-4.886902 -6.089539 -2.270325 -1.587158 0.8364868
-6.596436 -5.320557 -2.222473 -8.183655 -5.873291
-7.777405 -6.884216 -5.14502 -8.441528 -6.674377
-8.369202 -8.252441 -6.909912 -9.239502 -8.792847
-6.482239 -5.426575 -2.199402 -7.613037 -6.580872
-8.314453 -8.190308 -6.600525 -9.341492 -8.977356
-8.233154 -8.083191 -6.623962 -9.279358 -9.049866
-7.749329 -6.712402 -6.331787 -10.89191 -9.060852
-8.032471 -7.148621 -6.709839 -10.54956 -9.002075
-8.236816 -7.403198 -7.146729 -10.35217 -9.013855
-8.082031 -7.57135 -7.090881 -10.14685 -8.867859
-7.935852 -7.760925 -6.869629 -10.14459 -8.729126
-4.408813 0.08398438 1.420593 -8.183167 -5.675293
-4.191223 1.67926 0.623291 -7.330139 -5.075378
-8.332764 -7.924255 -7.433533 -10.52698 -9.147583
