test_id,variant,channels,amp,latency_cycles,coverage,wrong_channel_frac,fa_pre,n_pre,fa_post,n_post,cleared,cycles_inj,onnx_parity,off_latency_cycles,off_coverage,off_fa_pre,off_fa_post,off_cleared,common_cycles,sim_vs_off_diff
E-AC-02s,MPCC_D_F1,Iac,10.0,2.0,1.0,0.9285714285714286,0,4,0,12,True,14,0.689208984375,2.0,1.0,0,0,True,35,0
E-AC-02s,MPCC_D_F10,Iac,10.0,2.0,1.0,0.9285714285714286,0,4,0,12,True,14,0.7501831054687003,2.0,1.0,0,0,True,35,0
E-AC-02s,MPCC_D_R,Iac,10.0,2.0,1.0,0.9285714285714286,0,4,0,12,True,14,0.6300659179687003,2.0,1.0,0,0,True,35,0
E-AC-02s,MPCC_D_M1,Iac,10.0,2.0,1.0,0.8571428571428571,0,4,0,12,True,14,0.6947021484375,2.0,1.0,0,0,True,35,0
E-AC-02s,MPCC_D_H1,Iac,10.0,2.0,1.0,0.8571428571428571,0,4,0,12,True,14,0.623779296875,2.0,1.0,0,0,True,35,1
E-AC-02h,CRPR,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,0.669189453125,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_P,Iac,4.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,0.6925048828125,2.0,1.0,0,1,False,35,1
E-AC-02h,MPCC_D,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,0.57037353515625,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_D_F1,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,0.7507934570312997,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_D_F10,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,0.711669921875,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_D_R,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,0.7062988281249503,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_D_M1,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,0.6947021484375,2.0,1.0,0,0,True,35,0
E-AC-02h,MPCC_D_H1,Iac,4.0,2.0,1.0,0.0,0,4,0,12,True,14,0.6192626953125,2.0,1.0,0,0,True,35,0
E-MUL-01,CRPR,Vdc+Iac,50.0,inf,0.0,0.0,0,4,0,12,True,14,1.2495117187500497,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_P,Vdc+Iac,50.0,inf,0.0,0.0,0,4,1,12,False,14,1.2458496093750497,inf,0.0,0,2,False,35,1
E-MUL-01,MPCC_D,Vdc+Iac,50.0,inf,0.0,0.0,0,4,0,12,True,14,1.3088989257812003,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_D_F1,Vdc+Iac,50.0,inf,0.0,0.0,0,4,0,12,True,14,1.273681640625,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_D_F10,Vdc+Iac,50.0,inf,0.0,0.0,0,4,0,12,True,14,1.28778076171875,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_D_R,Vdc+Iac,50.0,inf,0.0,0.0,0,4,0,12,True,14,1.334716796875,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_D_M1,Vdc+Iac,50.0,inf,0.0,0.0,0,4,0,12,True,14,1.268310546875,inf,0.0,0,0,True,35,0
E-MUL-01,MPCC_D_H1,Vdc+Iac,50.0,inf,0.0,0.0,0,4,0,12,True,14,1.296875,inf,0.0,0,0,True,35,0
