test_id,group,trip,t_trip_ms,power_retention_pct,dVdc_real_V,thd_rise_pp,I_dc_A,t_rec_ms,I_peak_A,PF_dur
E-BAT-02b,MPCC_R,0,,99.9959657178027,-1.347245059341958,-0.020124009879070037,0.199238638718146,0.0,60.0113927743588,0.999953116606895
E-BAT-02b,MPCC_R_ON,0,,99.9999968820385,-11.26589462505899,0.08205371590715993,0.0223017126799943,280.0,43.5621740198494,0.999974549684129
E-BAT-02c,MPCC_D_H1,3,356.23,0.0,47.06762386074604,477.968158048035,0.0001578632687825,220.0,1.06795685212676,0.109040923884192
E-BAT-02c,MPCC_R,3,116.43,100.000232833377,-1.0821415578319602,-0.030430142465439847,-0.026619177133805,0.0,51.6810952574325,0.999961339312576
E-BAT-02c,MPCC_R_ON,0,,99.999974309666,-21.828080105866036,0.11216630561004992,0.0109299467134825,280.0,43.8764806884248,0.999968210719014
E-DC-01b,MPCC_D_H1,0,,63.8421699906757,-49.998033972738995,1.1170225528041202,-0.0469101876567995,180.0,27.4388435812342,0.999397054253049
E-DC-01b,MPCC_R_OFF,0,,63.8421699906757,-49.998033972738995,1.1170225528041202,-0.0469101876567995,180.0,27.4388435812342,0.999397054253049
E-DC-01b,MPCC_R,0,,100.0,0.12108552088699298,0.45159036349136983,-0.169345564724936,80.0000000000001,45.7529998534423,0.999988242922251
E-DC-01b,MPCC_R_ON,0,,100.00000051048,0.020848693648986227,0.70169459643434,0.0123466446860516,280.0,43.6305967124529,0.999978817133738
E-DC-01c,MPCC_D_H1,0,,0.0,-63.86191194403898,462.35308739306896,0.0001936604929686,200.0,1.06789266603282,0.267967367314054
E-DC-01c,MPCC_R,0,,100.0,-0.47207859230695703,0.83791053610293,0.0625364055407815,140.0,49.8931851762559,0.999981562185199
E-DC-01c,MPCC_R_ON,0,,100.00000051048,0.04762571846100627,1.4992731070302097,0.007074082917027,280.0,43.9583881705799,0.999978634567318
E-DC-02b,MPCC_D_H1,2,40.6900000000001,100.0,99.967052335446,-0.47220508304301,0.017541019294527,220.0,48.1185269223612,0.999996763288926
E-DC-02b,MPCC_R,2,40.6900000000001,100.0,-0.05326055829897314,-0.6932223054720899,0.152572333338758,140.0,51.9389138001469,0.999983638887392
E-DC-02b,MPCC_R_ON,0,,100.00000051048,0.04933503758695679,-0.7812500991470201,0.005213631500057,280.0,43.1707056743503,0.999982418483788
E-MUL-01,MPCC_D_H1,0,,60.5955431471458,-49.94483386478197,4.34127100221113,-4.51189071089467,180.0,30.9573568349823,0.9995812225305
E-MUL-01,MPCC_R,3,75.3400000000001,100.0,-0.12601593165800296,2.5037577340731696,-5.5768580918636,100.0,51.911880686753,0.99999604525783
E-MUL-01,MPCC_R_ON,0,,100.00000051048,-0.1335850336030262,2.5822257587878594,-5.36414796587867,280.0,49.8045467144638,0.999994240097393
