test_id,VARIANT_NAME,priority,channel,shape,amp,k,f,phase,channel2,amp2,t_on,dwell,e_meas_Vdc,e_meas_Vac,e_meas_Iac,e_meas_Vbat,e_meas_Ibat,dVdc_V,Vdc_pre_V,Vdc_dur_V,Vdc_post_V,Vdc_over_on_V,Vdc_under_on_V,Vdc_over_off_V,Vdc_under_off_V,e_I_rms_A,I_dc_A,I_peak_A,I_peak_on_A,I2_pre_pct,I2_dur_pct,THD50_pre_pct,THD50_dur_pct,THD50_post_pct,THD_full_pre_pct,THD_full_dur_pct,THD_full_post_pct,PF_pre,PF_dur,PF_post,Pac_dur_kW,Pdc_dur_kW,P_charge_pre_kW,P_charge_dur_kW,P_charge_post_kW,power_retention_pct,Ibat_dur_A,Vbat_dur_V,Iref_pre_A,Iref_dur_A,D_dcdc_dur,state_dur,state_post,t_switch_ms,trip,t_trip_ms,t_settle_ms,t_rec_Vdc_ms,t_rec_P_ms,t_rec_THD_ms,t_rec_ms,sim_wall_s,status
E-AC-01b,MPCC_D_R,P2,Vac,step,34,0,50,0,,0,0.7,0.3,0,34,0.000708929779925767,0,0,-0.25324272682218,399.998844820656,399.746757273178,400.008385068085,22.300688958917,-21.286964542367,17.538761812564,-15.905062521993,7.82713429823813,-8.14692397472419,54.2354521179142,58.7275670867028,0.0747273852375593,6.70425129404763,2.7759962510072,8.19168424572023,2.82128758130753,3.10191574862763,8.4335822899745,3.13762733229085,0.999974660714259,0.999994438013578,0.999982476670261,7.02541737054316,6.90305169389671,6.9,6.9,6.9,100,20,345,46.5729649557277,46.5677279234819,0.863610006807222,0,0,NaN,0,NaN,30.7000000000001,28.6,0,60.0000000000001,60.0000000000001,905.1613569,OK
E-AC-01b,MPCC_P,P2,Vac,step,34,0,50,0,,0,0.7,0.3,0,34,-0.00101097657259325,0,0,-0.00341988394978898,399.978650532726,399.99658011605,400.002226588921,11.59640326786,-11.966507589883,10.844818668448,-11.35560648289,3.22644654487724,-0.721450042764907,50.6229984213259,50.9983636005479,0.0515310833400315,0.190671869626814,5.02625590330964,5.78865116707064,5.00882810238558,11.0001239954989,11.3721544061898,10.9361203154929,0.999563055086403,0.999660866161928,0.999611101990793,7.02047455984564,6.90321165845096,6.9,6.9,6.9,100,20,345,41.221358647212,41.3606634651299,0.862830732953147,0,0,NaN,0,NaN,0,0,0,0,0,945.7615751,OK
E-AC-02b,CRPR,P1,Iac,step,5,0,50,0,,0,0.7,0.3,0,0,5.00157935555208,0,0,-0.169513690480926,399.993860685847,399.830486309519,400.008409267146,20.268465145148,-19.337721015663,15.118992911466,-16.521646743154,6.4687187561033,-5.02590995850966,52.2013078410075,55.29403830277,0.0427915347267719,5.64022371998379,11.5842591047519,15.5969221850421,11.5891286199028,11.6706662581573,15.7310106200193,11.6763014586365,0.999527546839528,0.9999579305848,0.999567504658775,7.02169329557753,6.90305504271117,6.9,6.9,6.9,100,20,345,48.9299589628863,45.7719947964316,0.863328846899307,0,0,NaN,0,NaN,29,28.9999999999999,0,0,28.9999999999999,955.5003477,OK
E-AC-02b,MPCC_D,P1,Iac,step,5,0,50,0,,0,0.7,0.3,0,0,4.99991993059667,0,0,-0.159008277998623,400.006707696301,399.840991722001,399.999284422308,17.449705134494,-17.421226124068,14.924800772528,-13.844645113138,5.96026619692693,-5.39451579695933,51.131412705177,53.6171743498128,0.0738146658426878,3.17950707513637,5.48114381479756,6.47679023058515,5.48253668581207,5.65004463089252,6.64781348348377,5.65181116281111,0.999960497130096,0.999981540110375,0.999969202850165,7.02079172439833,6.90305301671722,6.9,6.9,6.9,100,20,345,46.5664698091187,46.7000603624749,0.863273232417095,0,0,NaN,0,NaN,0,0,0,0,0,911.4104041,OK
E-AC-02b,MPCC_D_F1,P1,Iac,step,5,0,50,0,,0,0.7,0.3,0,0,5.00006183438551,0,0,-0.173708128472583,399.98883835478,399.826291871527,400.014058067891,17.325690994036,-17.39288260863,14.849682854606,-13.709572629535,5.95250565889449,-5.39730773681337,50.2034280669217,52.8181575320517,0.0783338151353294,3.17601331354377,2.74181757272498,4.64781313985872,2.80361168026987,3.08075790708217,4.87913076912303,3.12873039073704,0.999974122937831,0.999994870458535,0.999982388942179,7.01932992120511,6.90305130219089,6.9,6.9,6.9,100,20,345,46.5631314343096,46.7204993533333,0.863288967222253,0,0,NaN,0,NaN,0,0,0,40,40,920.1177003,OK
E-AC-02b,MPCC_D_F10,P1,Iac,step,5,0,50,0,,0,0.7,0.3,0,0,4.99998710706748,0,0,-0.161007223082152,400.002007910156,399.838992776918,400.001827932514,17.31640337454,-17.136765230674,14.799436685975,-13.468703442238,5.95055652212184,-5.39959806720536,50.1893717742663,52.6323210362581,0.0533334129772383,3.16578464220519,2.76656486912371,4.64932286659947,2.80675761576933,3.09621077331695,4.87583049030973,3.12683264332862,0.999975039665664,0.999995000169552,0.999981930227493,7.02033466201251,6.90305162658646,6.9,6.9,6.9,100,20,345,46.5701023219376,46.7157576780441,0.863261660377878,0,0,NaN,0,NaN,0,0,0,40,40,925.7997129,OK
E-AC-02b,MPCC_D_R,P1,Iac,step,5,0,50,0,,0,0.7,0.3,0,0,5.00010658051212,0,0,-0.166153486022381,399.998844820656,399.833846513978,400.006953529699,17.673671704092,-17.256736685705,14.956572845216,-13.682620435843,5.99314662150877,-5.46386209651023,50.3759472587923,52.9154890470991,0.0747273852375593,3.64332180771752,2.7759962510072,4.95224496476522,2.82327088294113,3.10191574862763,5.16171284242094,3.13914119626259,0.999974660714259,0.999993039644738,0.999982304614235,7.02155897870934,6.90305165886239,6.9,6.9,6.9,100,20,345,46.5729649557277,46.7274343984345,0.863280238920805,0,0,NaN,0,NaN,0,0,0,40,40,928.5244581,OK
E-AC-02b,MPCC_P,P1,Iac,step,5,0,50,0,,0,0.7,0.3,0,0,4.99996727085213,0,0,-0.1532452485813,399.978650532726,399.846754751419,400.010953096657,17.496529922865,-17.536703903867,14.88514850758,-13.807165424685,5.63452992959373,-5.41237653802556,56.6423920783726,58.4244420042405,0.0515310833400315,3.76671439531996,5.02625590330964,6.56099475548022,4.97635887234887,11.0001239954989,11.6478419662182,10.9313040050838,0.999563055086403,0.999588313487341,0.999625141032482,7.02034820054623,6.90321122474654,6.9,6.9,6.9,100,20,345,41.221358647212,41.4654923018966,0.863261145863666,0,0,NaN,0,NaN,0,0,0,0,0,935.2306041,OK
E-AC-02h,CRPR,P2,Iac,hall,4,0,100,0,,0,0.7,0.3,0,0,4.00133526956546,0,0,-0.0093354790294029,399.993860685847,399.990664520971,400.005993017721,20.283935656278,-17.245193189506,12.857425827114,-17.034071774365,8.23309339081011,-1.88478754320899,49.571325028378,56.6810158291228,0.0427915347267719,11.2566082409483,11.5842591047519,25.7578429442435,11.589518426332,11.6706662581573,25.9320935148295,11.6765767106368,0.999527546839528,0.998083823502429,0.999567432320634,7.02386153601542,6.90305751297322,6.9,6.9,6.9,100,20,345,48.9299589628863,39.4292675519478,0.86288104537591,0,0,NaN,0,NaN,27.7000000000001,32.8999999999999,0,0,32.8999999999999,862.8808566,OK
E-AC-02h,MPCC_D,P2,Iac,hall,4,0,100,0,,0,0.7,0.3,0,0,4.00239312023169,0,0,0.0695900111817309,400.006707696301,400.069590011182,400.007963377992,12.249330140564,-14.661199127344,11.293471898401,-12.212687366761,7.60394766045676,-2.53402326845808,50.4952827592735,50.4384372403213,0.0738146658426878,19.7651570893945,5.48114381479756,21.7467914858446,5.48832524379492,5.65004463089252,21.8318620855386,5.65650963488021,0.999960497130096,0.999996895958949,0.999968374738447,7.02533047692184,6.90305342252088,6.9,6.9,6.9,100,20,345,46.5664698091187,46.4734641437748,0.862688058797127,0,0,NaN,0,NaN,0,0,0,0,0,843.5966234,OK
